text,normalized_text,label,category,mechanism,source_file
"2173523238710801 Confirmed. You have received GHS214.90 from <ACCOUNT> - <NAME> on 2026-02-07 at 18:52:38. Your Telecel Cash balance is GHS45.00. Reference: boat.
Sending money from Telecel Cash to Telecel Cash remains FREE on the Telecel Play App. Download the App <URL> and continue to enjoy the convenience.",2173523238710801 Confirmed. You have received GHS214.90 from <ACCOUNT> - <NAME> on 2026-02-07 at 18:52:38. Your Telecel Cash balance is GHS45.00. Reference: boat. Sending money from Telecel Cash to Telecel Cash remains FREE on the Telecel Play App. Download the App <URL> and continue to enjoy the convenience.,0,legitimate,none,v2
"ABSA ALERT: A WITHDRAWAL OF <AMOUNT> IS BEING PROCESSED FROM YOUR PROFILE. IF YOU DID NOT AUTHORIZE THIS, CANCEL NOW BY CONFIRMING YOUR PIN AT <URL>. LINK EXPIRES IN 15 MIN. YOO! DO NOT IGNORE.","ABSA ALERT: A WITHDRAWAL OF <AMOUNT> IS BEING PROCESSED FROM YOUR PROFILE. IF YOU DID NOT AUTHORIZE THIS, CANCEL NOW BY CONFIRMING YOUR PIN AT <URL>. LINK EXPIRES IN 15 MIN. YOO! DO NOT IGNORE.",1,alert,fear,v2
1893675579708050 Confirmed. You have withdrawn GHS38.00 from <ACCOUNT> - <NAME> on 2026-06-13 at 08:22:38. Your Telecel Cash balance is GHS45.00.,1893675579708050 Confirmed. You have withdrawn GHS38.00 from <ACCOUNT> - <NAME> on 2026-06-13 at 08:22:38. Your Telecel Cash balance is GHS45.00.,0,legitimate,none,v2
Attention: NCA: Your records require mandatory re-verification. Update your Ghana Card and wallet details at <URL> in the next 48 hours to avoid deactivation.,Attention: NCA: Your records require mandatory re-verification. Update your Ghana Card and wallet details at <URL> in the next 48 hours to avoid deactivation.,1,alert,authority,v2
4605370755065223 Confirmed. You have withdrawn GHS111.41 from <ACCOUNT> - <NAME> on 2026-07-01 at 08:43:54. Your Telecel Cash balance is GHS306.92.,4605370755065223 Confirmed. You have withdrawn GHS111.41 from <ACCOUNT> - <NAME> on 2026-07-01 at 08:43:54. Your Telecel Cash balance is GHS306.92.,0,legitimate,none,v2
"AirtelTigo Money ALERT: A withdrawal of <AMOUNT> is being processed from your account. If you did not authorize this, cancel now by confirming your PIN at <URL>. Link expires in 15 min. Abi!","AirtelTigo Money ALERT: A withdrawal of <AMOUNT> is being processed from your account. If you did not authorize this, cancel now by confirming your PIN at <URL>. Link expires in 15 min. Abi!",1,alert,fear,v2
8226444633568084 Confirmed. You have withdrawn GHS85.00 from <ACCOUNT> - <NAME> on 2026-02-26 at 09:48:09. Your Telecel Cash balance is GHS323.53.,8226444633568084 Confirmed. You have withdrawn GHS85.00 from <ACCOUNT> - <NAME> on 2026-02-26 at 09:48:09. Your Telecel Cash balance is GHS323.53.,0,legitimate,none,v2
"BOSS, MTN GHANA: OVER 4,000 SUBSCRIBERS HAVE ALREADY REDEEMED THEIR REWARD THIS WEEK. YOU ARE NEXT — YOUR <AMOUNT> BONUS IS WAITING. DIAL *110# THEN FOLLOW STEPS.","BOSS, MTN GHANA: OVER 4,000 SUBSCRIBERS HAVE ALREADY REDEEMED THEIR REWARD THIS WEEK. YOU ARE NEXT — YOUR <AMOUNT> BONUS IS WAITING. DIAL *110# THEN FOLLOW STEPS.",1,promo,social_proof,v2
"5744748815936220 Confirmed. GHS2,872.02 sent to  <PHONE> <NAME> on MTN MOBILE MONEY on 2026-02-05 at 00:45:50. Your Telecel Cash balance is GHS50.00. You were charged GHS1.61. Your E-levy charge is GHS0.00. Sending money from Telecel Cash to Telecel Cash remains FREE on the Telecel Play App. Download the App <URL> and continue to enjoy the convenience.
Reference: rent. 
Sendi k3k3!","5744748815936220 Confirmed. GHS2,872.02 sent to <PHONE> <NAME> on MTN MOBILE MONEY on 2026-02-05 at 00:45:50. Your Telecel Cash balance is GHS50.00. You were charged GHS1.61. Your E-levy charge is GHS0.00. Sending money from Telecel Cash to Telecel Cash remains FREE on the Telecel Play App. Download the App <URL> and continue to enjoy the convenience. Reference: rent. Sendi k3k3!",0,legitimate,none,v2
"Sister, Hi, I think you just received <AMOUNT> from me by mistake — wrong number. I trust you'll do the right thing and send it back to <PHONE>. God bless you for your honesty. Do not ignore.","Sister, Hi, I think you just received <AMOUNT> from me by mistake — wrong number. I trust you'll do the right thing and send it back to <PHONE>. God bless you for your honesty. Do not ignore.",1,reversal,reciprocity,v2
"Sister, MTN Ghana: Over 4,000 subscribers have already claimed their reward this week. You are next — your <AMOUNT> bonus is waiting. Dial *170# then follow steps.","Sister, MTN Ghana: Over 4,000 subscribers have already claimed their reward this week. You are next — your <AMOUNT> bonus is waiting. Dial *170# then follow steps.",1,promo,social_proof,v2
"Chale, Attention staff: your employer has migrated payroll to a new platform. Confirm your MoMo details at <URL> today so your salary is not delayed this month. Now now!","Chale, Attention staff: your employer has migrated payroll to a new platform. Confirm your MoMo details at <URL> today so your salary is not delayed this month. Now now!",1,alert,authority,v2
Telecel Ghana SYSTEM NOTICE: <AMOUNT> was erroneously credited to your wallet due to a network glitch. You are required to reverse it to <PHONE> before 30 minutes or your wallet will be flagged for fraud review.,Telecel Ghana SYSTEM NOTICE: <AMOUNT> was erroneously credited to your wallet due to a network glitch. You are required to reverse it to <PHONE> before 30 minutes or your wallet will be flagged for fraud review.,1,reversal,authority,v2
Important: FINAL NOTICE: Your <AMOUNT> prize from Telecel Ghana expires in 1 hour. Claim now at <URL> — unclaimed funds return to the pool at midnight. Act now.,Important: FINAL NOTICE: Your <AMOUNT> prize from Telecel Ghana expires in 1 hour. Claim now at <URL> — unclaimed funds return to the pool at midnight. Act now.,1,promo,scarcity,v2
"3398502054680924 Confirmed. GHS381.71 sent to  <PHONE> <NAME> on MTN MOBILE MONEY on 2026-05-25 at 20:29:45. Your Telecel Cash balance is GHS50.00. You were charged GHS2.10. Your E-levy charge is GHS0.00. Sending money from Telecel Cash to Telecel Cash remains FREE on the Telecel Play App. Download the App <URL> and continue to enjoy the convenience.
Reference: delivery. 
Sendi k3k3!",3398502054680924 Confirmed. GHS381.71 sent to <PHONE> <NAME> on MTN MOBILE MONEY on 2026-05-25 at 20:29:45. Your Telecel Cash balance is GHS50.00. You were charged GHS2.10. Your E-levy charge is GHS0.00. Sending money from Telecel Cash to Telecel Cash remains FREE on the Telecel Play App. Download the App <URL> and continue to enjoy the convenience. Reference: delivery. Sendi k3k3!,0,legitimate,none,v2
"1132341852822448 Confirmed. You have received GHS28.50 from MTN MOBILE MONEY with transaction reference: Transfer From: <ACCOUNT>-<NAME>  on 2026-01-11 at 21:48:53. Your Telecel Cash balance is GHS341.88.
Ref: jersey.
Stay alert. Never share your PIN or OTP with anyone or click unknown links. Protect your personal information.",1132341852822448 Confirmed. You have received GHS28.50 from MTN MOBILE MONEY with transaction reference: Transfer From: <ACCOUNT>-<NAME> on 2026-01-11 at 21:48:53. Your Telecel Cash balance is GHS341.88. Ref: jersey. Stay alert. Never share your PIN or OTP with anyone or click unknown links. Protect your personal information.,0,legitimate,none,v2
Cyber Security Authority: Your records require mandatory re-verification. Update your Ghana Card and account details at <URL> within 48 hours to avoid deactivation. Akwaaba.,Cyber Security Authority: Your records require mandatory re-verification. Update your Ghana Card and account details at <URL> within 48 hours to avoid deactivation. Akwaaba.,1,alert,authority,v2
"MTN ALERT: A withdrawal of <AMOUNT> is being processed from your account. If you did not authorize this, cancel now by confirming your PIN at <URL>. Link expires in 15 min. Medaase! Act now.","MTN ALERT: A withdrawal of <AMOUNT> is being processed from your account. If you did not authorize this, cancel now by confirming your PIN at <URL>. Link expires in 15 min. Medaase! Act now.",1,alert,fear,v2
